ITEM: TIMESTEP
300000
ITEM: NUMBER OF ATOMS
3689
ITEM: BOX BOUNDS pp ff pp
0.0000000000000000e+00 2.8000000000000000e+01
-5.0000000000000000e+00 2.7000000000000000e+01
-1.0000000000000000e+00 1.0000000000000000e+00
ITEM: ATOMS id x y vx vy diameter 
430 3.71324 16.985 0.753401 0.0442365 0.46 
431 10.9415 14.1883 0.789532 0.0225885 0.46 
432 22.6532 14.2531 0.785991 0.00204466 0.46 
433 9.21488 11.2476 0.791602 0.0142116 0.46 
434 25.9298 18.6709 0.664382 0.0143778 0.46 
435 6.86955 8.95138 0.785725 0.0263648 0.46 
436 24.5407 9.58775 0.790792 0.00289331 0.46 
437 16.7431 21.047 0.309302 0.00333977 0.46 
438 21.542 16.1742 0.755 0.00345621 0.46 
439 14.4825 4.67359 0.702231 -0.0190815 0.46 
440 9.03267 5.86724 0.727992 -0.000143506 0.46 
441 11.2698 11.2821 0.787549 -0.000292425 0.46 
442 20.1211 21.843 0.0876537 0.00611433 0.46 
443 6.19812 3.87341 0.66429 0.0216046 0.46 
444 8.1269 5.88264 0.749153 0.0195275 0.46 
445 4.13699 14.5443 0.787289 0.0247771 0.46 
446 9.86425 19.5482 0.559862 -0.00776492 0.46 
447 25.2949 16.2676 0.786286 0.00282126 0.46 
448 6.47759 13.3372 0.78562 0.0239873 0.46 
449 8.66414 13.6508 0.791145 0.0219816 0.46 
450 11.4415 6.30369 0.760269 -0.0173896 0.46 
451 12.1029 8.02328 0.771073 -0.0101847 0.46 
452 0.0254931 13.3025 0.797757 0.00569403 0.46 
453 8.84767 16.8625 0.762804 0.0093369 0.46 
454 5.02834 8.34853 0.783952 0.0239337 0.46 
455 11.4742 9.25393 0.782903 -0.00143932 0.46 
456 3.34977 14.8323 0.77797 0.0342965 0.46 
457 19.7652 11.8665 0.788933 -0.0152117 0.46 
458 25.3592 10.4382 0.79328 0.00473106 0.46 
459 22.6606 12.3237 0.787077 0.000482456 0.46 
460 26.846 10.3448 0.792028 0.00684992 0.46 
461 23.7601 20.1196 0.456426 0.0156729 0.46 
462 26.6822 21.8296 0.0855909 0.0166647 0.46 
463 20.1064 18.8677 0.646353 0.00233821 0.46 
464 13.1443 14.931 0.787931 -0.00532922 0.46 
465 2.93841 3.86354 0.679374 0.0222169 0.46 
466 13.6215 21.4252 0.168853 0.0256362 0.46 
467 6.06454 1.39303 0.351079 -0.00293466 0.46 
468 22.1697 10.8588 0.794338 -0.00285846 0.46 
